comm_id,dbpedia_url,commander,last_me,middle_me,first_me
CS129,http://dbpedia.org/resource/Samuel_Gibbs_French,2306a312-6705-4e62-893d-8789639a1555,French,G.,Samuel
CS13,http://dbpedia.org/resource/Caleb_W._Dorsey,73e2e794-9dab-40f5-b28f-25ad915208d4,Dorsey,,Caleb
CS132,http://dbpedia.org/resource/Stephen_D._Lee,8f59c204-3c38-4233-8ff0-3b70562303ca,Lee,D.,Stephen
CS133,http://dbpedia.org/resource/Sterling_Price,1cd425bc-311a-42c3-9ba2-a16bc1db7eea,Price,,Sterling
CS133,http://dbpedia.org/resource/Sterling_Price,8f232cc9-43e7-4627-ab45-d8fe6873c472,Price,,Sterling
CS134,http://dbpedia.org/resource/Theophilus_H._Holmes,65f2acff-a023-45b9-8957-6b89af4343b7,Holmes,H.,Theophilus
CS135,http://dbpedia.org/resource/Thomas_C._Hindman,839a5a85-49a8-41a6-b4a9-f76657c5d4fc,Hindman,C.,Thomas
CS136,http://dbpedia.org/resource/Thomas_Lanier_Clingman,e1407be2-ad06-4d63-86d3-b11e74c69aa8,Clingman,,Thomas
CS138,http://dbpedia.org/resource/Stonewall_Jackson,21d06a25-9c4f-4dea-a766-f60d20632999,Jackson,J.,Thomas
CS139,http://dbpedia.org/resource/Thomas_T._Munford,f7906ebf-791d-4350-b22a-97a7da59ca14,Munford,,Thomas
CS140,http://dbpedia.org/resource/Thomas_L._Rosser,0dca3f2d-e93f-4908-bda9-bb23f411857b,Rosser,,Thomas
CS141,http://dbpedia.org/resource/Thomas_Green_(general),1f2d408e-a3d6-431d-aefe-9d6df9e7902b,Green,,Tom
CS142,,34987df9-c3da-4e66-a7ef-39d982ac4290,Hays,,Upton
CS143,http://dbpedia.org/resource/William_Lewis_Cabell,74670315-8624-4010-bd86-1e4e2d5596f3,Cabell,,W.L.
CS144,http://dbpedia.org/resource/Wade_Hampton_III,0db13c2e-98a9-4187-be39-484c4d272d30,Hampton,,Wade
CS146,,a1119257-117f-4c06-adbd-07895c4ff3da,Byrd,,William
CS147,http://dbpedia.org/resource/William_Quantrill,d37278a3-c536-4416-bc59-bebe838224ee,Quantrill,C.,William
CS148,http://dbpedia.org/resource/William_E._Jones,0769dc65-a460-4629-b6bc-68a36ab8786e,Jones,E.,William
CS15,http://dbpedia.org/resource/Charles_Colcock,fc5aa395-01c0-47f3-b085-e0e6d82a0269,Colcock,,Charles
CS150,http://dbpedia.org/resource/William_Hicks_Jackson,7c8a3879-d97a-43e5-91db-8a9ac6338f68,Jackson,H.,William
CS151,http://dbpedia.org/resource/William_Henry_Parsons_(colonel),6370ad3b-9871-43c7-beb5-6db2824b3db7,Parsons,H.,William
CS152,http://dbpedia.org/resource/William_Henry_Fitzhugh_Lee,6e862f42-548c-4fcf-927e-4d8b620f34a8,Lee,"H.F. ""Rooney""",William
CS153,http://dbpedia.org/resource/William_J._Hardee,b01714aa-b252-4944-816d-be76a9070175,Hardee,J.,William
CS154,http://dbpedia.org/resource/William_Mahone,9e1353da-e14e-4a33-9169-19b95b173cd1,Mahone,,William
CS155,http://dbpedia.org/resource/William_N._Pendleton,6bf63993-77b5-4172-bdba-bb52f77800f8,Pendleton,,William
CS156,,582df6ed-29ed-42d6-8cb8-42a17fb0da93,Miles,R.,William
CS157,http://dbpedia.org/resource/William_Read_Scurry,a0843832-94ac-4663-b4bc-288b8d1b817f,Scurry,R.,William
CS158,http://dbpedia.org/resource/William_T._Martin,1c8ec84f-b650-4d45-8048-57f6312808ee,Martin,T.,William
CS16,,58e66a54-b9b1-44c5-8f83-8cf7387848ac,Hopkins,F.,Charles
CS17,http://dbpedia.org/resource/Charles_W._Field,b8c29b14-3dbe-4c53-a8ca-6af5217d6469,Field,,Charles
CS18,http://dbpedia.org/resource/Charles_H._Olmstead,517c59af-51f9-4b24-a7be-7f6636926484,Olmstead,H.,Charles
CS19,http://dbpedia.org/resource/Charles_L._Pyron,2828095d-0ca4-4577-86db-715eeb9ec93c,Pyron,L.,Charles
CS2,http://dbpedia.org/resource/Albert_G._Jenkins,862c24e1-e6e0-4349-b796-8568994296f3,Jenkins,,Albert
CS21,http://dbpedia.org/resource/Colton_Greene,d0448aad-c7ec-418b-ad15-845e7ada97b3,Greene,,Colton
