"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"VA032","Chancellorsville","US","Joseph Hooker","http://dbpedia.org/resource/Joseph_Hooker","Major General"
"VA032","Chancellorsville","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA032","Chancellorsville","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"VA033","Salem Church","US","John Sedgwick","http://dbpedia.org/resource/John_Sedgwick","Major General"
"VA033","Salem Church","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA034","Fredericksburg II","US","John Sedgwick","http://dbpedia.org/resource/John_Sedgwick","Major General"
"VA034","Fredericksburg II","CS","Jubal A. Early","http://dbpedia.org/resource/Jubal_Early","Major General"
"VA035","Brandy Station","US","Alfred Pleasonton","http://dbpedia.org/resource/Alfred_Pleasonton","Major General"
"VA035","Brandy Station","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Major General"
"VA036","Aldie","US","H. Judson Kilpatrick","http://dbpedia.org/resource/Hugh_Judson_Kilpatrick","Brigadier General"
"VA036","Aldie","CS","Thomas Munford","http://dbpedia.org/resource/Thomas_T._Munford","Colonel"
"VA037","Middleburg","US","David M. Gregg","http://dbpedia.org/resource/David_McMurtrie_Gregg","Brigadier General"
"VA037","Middleburg","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Major General"
"VA038","Upperville","US","Alfred Pleasonton","http://dbpedia.org/resource/Alfred_Pleasonton","Major General"
"VA038","Upperville","CS","Beverly Robertson","http://dbpedia.org/resource/Beverly_Robertson","Brigadier General"
"VA038","Upperville","CS","Wade Hampton","http://dbpedia.org/resource/Wade_Hampton_III","Brigadier General"
"VA039","Auburn","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Major General"
"VA039","Auburn","US","William H. French","http://dbpedia.org/resource/William_H._French","Major General"
"VA040","Bristoe Station","CS","A.P. Hill","http://dbpedia.org/resource/A._P._Hill","Lieutenant General"
"VA040","Bristoe Station","US","G.K. Warren","http://dbpedia.org/resource/Gouverneur_K._Warren","Major General"
"VA041","Auburn","US","G.K. Warren","http://dbpedia.org/resource/Gouverneur_K._Warren","Major General"
"VA041","Auburn","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Major General"
"VA042","Buckland Mills","US","H. Judson Kilpatrick","http://dbpedia.org/resource/Hugh_Judson_Kilpatrick","Major General"
